DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocha Miranda,-,   2,   68,   70,   59,-,-,   35,   13,   311,   12,-,   7,-,   44,  1 043,   100,   49,   162,   303,   282,   116,   267,-,-,-,  2 943
Honório Gurgel,-,-,   219,   41,   5,-,-,-,-,   330,-,-,   10,-,   10,   89,   4,-,   43,   45,   80,   1,   63,-,-,-,   940
Oswaldo Cruz,-,-,   32,   5,-,-,-,   6,-,   2,   60,-,   73,-,   188,   276,   87,   1,   196,   643,   214,   5,   146,-,-,-,  1 934
Bento Ribeiro,-,   3,   10,   8,-,-,-,   30,   3,   4,   35,-,   13,-,   61,   565,   72,   1,   289,   693,   260,   16,   437,-,   7,-,  2 507
Marechal Hermes,-,   147,   14,   19,-,-,-,   7,-,   1,   27,-,   104,-,   23,   769,   84,   17,   163,   36,   295,   195,   345,   268,-,-,  2 514
Região de Planejamento 3.4,   57,   106,   656,   388,   67,   8,   234,   354,   54,   507,   211,   0,   360,   123,   843,  4 937,  2 078,   306,  9 909,  1 275,  4 538,   994,   799,   0,   197,   0,  29 001
XII Inhaúma,   57,   106,   656,   388,   67,   8,   234,   354,   54,   507,   211,   0,   360,   123,   843,  4 937,  2 078,   306,  9 909,  1 275,  4 538,   994,   799,   0,   197,   0,  29 001
Higienópolis,   1,-,   11,   286,   19,   6,   5,   119,   13,   67,   122,-,   20,-,   87,   541,   213,   7,   434,   117,   140,   29,   201,-,   48,-,  2 486
Maria da Graça,-,-,   2,   19,   16,-,   6,   63,   9,   50,   25,-,   19,   33,   113,   236,   55,-,  1 683,   124,   194,   6,   59,-,-,-,  2 712
Del Castilho,-,-,   40,   42,-,-,-,   5,   2,   34,   41,-,   11,-,   72,  1 087,   117,   26,   931,   190,  1 695,   719,   56,-,-,-,  5 068
Inhaúma,-,   103,   500,   25,   15,   2,   169,   162,   30,   289,   22,-,   292,   89,   484,  2 378,  1 653,   272,  6 314,   763,  2 388,   123,   347,-,   149,-,  16 569
Engenho da Rainha,   38,-,-,   11,   16,-,   20,-,-,   39,   1,-,   18,-,   63,   574,   20,   1,   371,   32,   106,   117,   125,-,-,-,  1 552
Tomás Coelho,   18,   3,   103,   5,   1,-,   34,   5,-,   28,-,-,-,   1,   24,   121,   20,-,   176,   49,   15,-,   11,-,-,-,   614
XXIX Complexo do Alemão,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
Complexo do Alemão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   0
Região de Planejamento 3.5,   25,   34,  1 038,   882,   100,   348,   88,   191,   230,  1 405,  4 672,   126,  1 005,   586,  1 888,  10 042,  8 021,   382,  8 819,  8 440,  3 305,  1 699,  2 021,  8 309,   46,   0,  63 702
XI Penha,   0,   32,   342,   362,   97,   100,   18,   152,   149,   190,  2 486,   122,   534,   308,  1 205,  6 785,  4 269,   365,  6 402,  4 466,  2 703,  1 504,  1 562,  8 116,   12,   0,  42 281
Penha,-,   25,   126,   201,   33,   58,   3,   50,   122,   82,   288,   120,   270,   31,   729,  3 506,  2 250,   217,  1 354,  1 221,  2 092,   861,  1 010,  8 116,   1,-,  22 766
Penha Circular,-,   5,   162,   143,   20,   40,   12,   40,   27,   108,  2 176,   2,   257,   277,   454,  2 418,  1 812,   134,  4 864,  3 008,   459,   627,   335,-,   11,-,  17 391
Brás de Pina,-,   2,   54,   18,   44,   2,   3,   62,-,-,   22,-,   7,-,   22,   861,   207,   14,   184,   237,   152,   16,   217,-,-,-,  2 124
XXXI Vigário Geral,   25,   2,   696,   520,   3,   248,   70,   39,   81,  1 215,  2 186,   4,   471,   278,   683,  3 257,  3 752,   17,  2 417,  3 974,   602,   195,   459,   193,   34,   0,  21 421
Cordovil,   25,   2,   217,   2,-,   110,   2,   15,   6,   192,   5,   4,   57,   1,   259,   549,  1 397,-,   215,  2 079,   152,   167,   150,-,-,-,  5 606
Parada de Lucas,-,-,   61,   11,-,   5,   2,   3,   24,   324,   544,-,   1,   183,   19,   846,   207,   11,  1 626,   102,   110,   4,   76,-,-,-,  4 159
Vigário Geral,-,-,   359,   488,   2,   99,   27,   3,   2,   686,  1 545,-,   250,-,   318,  1 288,  1 993,   5,   371,  1 508,   210,   3,   88,   193,-,-,  9 438
Jardim América,-,-,   59,   19,   1,   34,   39,   18,   49,   13,   92,-,   163,   94,   87,   574,   155,   1,   205,   285,   130,   21,   145,-,   34,-,  2 218
Região de Planejamento 3.6,   0,   202,   492,  1 462,   526,   39,   5,   425,   127,   645,   171,   0,   481,   66,   901,  8 392,  9 049,   130,  1 199,  5 586,  2 384,   376,  1 645,   0,   42,   0,  34 345
XXII Anchieta,   0,   166,   23,   31,   2,   8,   1,   276,   39,   156,   96,   0,   191,   0,   157,  3 161,   198,   26,   452,  1 176,   974,   301,   857,   0,   7,   0,  8 298
Guadalupe,-,   164,   6,   12,-,   1,-,   226,-,   122,   14,-,   17,-,   27,  1 689,   112,   2,   160,   63,   446,   70,   327,-,-,-,  3 458
Anchieta,-,-,   4,   18,-,-,   1,   33,   19,   5,   63,-,   130,-,   84,   957,   59,   2,   30,   968,   162,   49,   288,-,   7,-,  2 879
Parque Anchieta,-,-,   6,   1,-,-,-,   16,   16,   28,   3,-,   27,-,   17,   151,   10,   3,   125,   10,   163,-,   93,-,-,-,   669
Ricardo de Albuquerque,-,   2,   7,-,   2,   7,-,   1,   4,   1,   16,-,   17,-,   29,   364,   17,   19,   137,   135,   203,   182,   149,-,-,-,  1 292
XXV Pavuna,   0,   36,   469,  1 431,   524,   31,   4,   149,   88,   489,   75,   0,   290,   66,   744,  5 231,  8 851,   104,   747,  4 410,  1 410,   75,   788,   0,   35,   0,  26 047
Coelho Neto,-,   35,   14,   16,   25,-,-,   3,   3,   19,   12,-,   15,   35,   104,  1 616,  7 167,   51,   223,   392,   287,   5,   132,-,   20,-,  10 174
Acari,-,-,   15,   44,-,-,-,-,-,-,-,-,   9,-,   3,   785,   80,-,   71,   29,   76,-,   17,-,-,-,  1 129
Barros Filho,-,-,   91,   95,-,-,-,-,-,   105,-,-,   204,   29,   2,   521,   171,-,   83,   58,   22,-,   63,-,-,-,  1 444
Costa Barros,-,-,-,-,-,-,-,-,-,-,   1,-,   1,-,   2,   142,   63,-,   5,-,   10,   9,   46,-,   3,-,   282
Pavuna,-,   1,   349,  1 276,   499,   31,   4,   146,   85,   365,   62,-,   61,   2,   633,  2 167,  1 370,   53,   365,  3 931,  1 015,   61,   530,-,   12,-,  13 018
Parque Colúmbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   0
Região de Planejamento 3.7,   0,   15,   34,   23,   4,   931,   16,   11,   19,  1 103,   28,   0,  1 110,   12,  1 259,  7 008,   729,   394,  6 989,  6 667,  3 701,  1 786,  15 585,  2 469,   10,   0,  49 903
XX Ilha do Governador,   0,   15,   34,   23,   4,   931,   16,   11,   19,  1 103,   28,   0,  1 110,   12,  1 259,  7 008,   729,   394,  6 989,  6 667,  3 701,  1 786,  15 585,  2 469,   10,   0,  49 903
Ribeira,-,-,   23,-,-,-,-,-,-,   591,-,-,   26,-,   71,   137,   52,-,   56,   352,   202,   24,   5,-,-,-,  1 539
Zumbi,-,-,-,-,-,   1,-,-,-,-,-,-,   1,-,   6,   59,   7,-,   11,-,   13,   170,   7,-,-,-,   275
Cacuia,-,-,-,   1,-,   2,-,-,-,-,   6,-,   13,-,   59,  1 284,   30,   54,   242,   822,   93,   91,   128,   1,-,-,  2 826
Pitangueiras,-,   13,-,-,-,-,-,-,-,-,-,-,-,-,   12,   17,-,-,   23,   4,   2,-,-,-,-,-,   71
Praia da Bandeira,-,-,-,   4,-,-,-,-,   1,-,   1,-,   15,-,   10,   235,   1,-,   92,-,   44,   6,   97,-,-,-,   506
Cocotá,-,-,-,-,-,-,-,-,-,-,-,-,   10,-,   31,   175,   16,   49,   182,   30,   241,   32,   97,   56,-,-,   919
Bancários,-,-,   2,-,-,-,-,-,-,-,   1,-,   2,-,   2,   122,   53,-,   30,   9,   73,   1,   59,-,-,-,   354
Freguesia - Ilha do Governador,-,-,-,-,-,   1,-,-,-,-,-,-,   17,-,   7,   454,   9,   7,   60,   30,   113,   15,   190,  1 758,-,-,  2 661
Jardim Guanabara,-,-,   1,   10,   4,-,   7,   8,   9,-,   6,-,   44,-,   102,   776,   257,   152,   859,   541,   885,   407,   996,   247,   8,-,  5 319
Jardim Carioca,-,-,-,   4,-,   1,   9,-,-,-,   4,-,   23,-,   64,  1 380,   36,   22,   390,   99,   472,   57,   439,-,   1,-,  3 001
Tauá,-,-,   1,-,-,-,-,-,   9,-,   2,-,   7,-,   37,   355,   30,-,   228,   93,   137,   48,   401,-,-,-,  1 348
Moneró,-,-,-,-,-,   206,-,-,-,   8,-,-,-,-,   1,   216,   9,   10,   61,   52,   91,   647,   39,-,-,-,  1 340
Portuguesa,-,   2,-,   4,-,-,-,-,-,   305,-,-,   37,-,   15,   906,   12,   7,  1 137,   62,   327,   113,   113,-,   1,-,  3 041
Galeão,-,-,-,-,-,   717,-,   3,-,   1,   8,-,   902,-,   41,   884,   130,   82,  1 210,  4 525,   907,   119,  2 113,   165,-,-,  11 807
Cidade Universitária,-,-,   7,-,-,   3,-,-,-,   198,-,-,   13,   12,   801,   8,   87,   11,  2 408,   48,   101,   56,  10 901,   242,-,-,  14 896
,,,,,,,,,,,,,,,,,,,,,,,,,,,   0
Área de Planejamento 4,   315,   281,   521,   590,   653,   123,   453,   639,  2 332,  4 359,   767,   3,  8 084,   645,  14 304,  57 508,  12 209,  5 803,  59 682,  17 563,  56 886,  18 973,  19 390,   253,  1 048,   0,  283 384
Região de Planejamento 4.1,   68,   158,   335,   379,   474,   87,   402,   431,   697,  3 963,   554,   3,  6 622,   364,  6 844,  23 424,  6 799,   972,  18 017,  8 027,  19 376,  6 778,  9 366,   251,   241,   0,  114 632
XVI Jacarepaguá,   68,   158,   327,   379,   474,   87,   402,   389,   697,  3 963,   554,   3,  6 622,   364,  6 766,  23 180,  6 709,   972,  17 803,  7 986,  19 353,  6 771,  9 326,   251,   241,   0,  113 845
Jacarepaguá,-,   22,   71,   57,   405,   4,   3,   27,   4,   109,   14,-,  3 165,   33,   575,  3 289,   610,   110,  1 484,   709,  7 263,  1 389,  1 197,-,   14,-,  20 554
Anil,-,   18,-,   23,-,-,   161,   10,   41,   9,   245,-,   71,-,   226,  1 006,   621,   8,   647,  1 083,   575,   34,   394,-,   48,-,  5 220
Gardênia Azul,-,   15,-,   4,   5,-,   46,   22,   2,-,   82,-,   435,   1,   84,   925,   351,   1,   130,   258,   256,   23,   188,-,   1,-,  2 829
Curicica,   46,   24,   66,   38,   21,   18,   43,   51,   19,  2 631,   35,-,  1 070,   4,   877,  2 635,   220,   39,  2 663,   512,   568,   61,   714,-,   60,-,  12 415
Freguesia - Jacarepaguá,-,-,   96,   24,   2,   2,-,   13,   7,   11,   35,   3,  1 369,   6,   596,  3 503,   823,   188,  4 086,  3 795,  2 524,  2 239,  1 753,   251,   19,-,  21 345
Pechincha,-,   9,-,   22,   16,   54,   1,   116,   10,   14,   16,-,   101,   167,  1 969,  1 868,  2 654,   130,  2 245,   145,  1 261,   117,  1 625,-,   23,-,  12 563
Taquara,   22,   50,   92,   87,   16,   8,   113,   137,   611,  1 161,   86,-,   264,   152,  1 532,  5 459,  1 088,   295,  4 056,   787,  4 394,  1 397,  1 787,-,   33,-,  23 627
Tanque,-,   8,-,   113,-,   1,   35,   13,   1,   15,   18,-,   93,   1,   494,  1 506,   142,   41,   824,   39,   782,   139,   307,-,   1,-,  4 573
Praça Seca,-,   3,-,   8,   9,-,-,-,   1,-,   10,-,   18,-,   157,  1 045,   137,   75,   685,   12,   535,   119,   281,-,   22,-,  3 117
Vila Valqueire,-,   9,   2,   3,-,-,-,-,   1,   13,   13,-,   36,-,   256,  1 944,   63,   85,   983,   646,  1 195,  1 253,  1 080,-,   20,-,  7 602
XXXIV Cidade de Deus,   0,   0,   8,   0,   0,   0,   0,   42,   0,   0,   0,   0,   0,   0,   78,   244,   90,   0,   214,   41,   23,   7,   40,   0,   0,   0,   787
Cidade de Deus,-,-,   8,-,-,-,-,   42,-,-,-,-,-,-,   78,   244,   90,-,   214,   41,   23,   7,   40,-,-,-,   787
Região de Planejamento 4.2,   247,   123,   186,   211,   179,   36,   51,   208,  1 635,   396,   213,   0,  1 462,   281,  7 460,  34 084,  5 410,  4 831,  41 665,  9 536,  37 510,  12 195,  10 024,   2,   807,   0,  168 752
XXIV Barra da Tijuca,   247,   123,   186,   211,   179,   36,   51,   208,  1 635,   396,   213,   0,  1 462,   281,  7 460,  34 084,  5 410,  4 831,  41 665,  9 536,  37 510,  12 195,  10 024,   2,   807,   0,  168 752
Joá,-,-,-,   7,-,-,-,-,   1,-,-,-,-,-,-,   21,   10,   3,   121,   1,   78,   6,   323,-,-,-,   571
Itanhangá,-,-,-,   10,-,-,-,   6,-,-,   1,-,   9,-,   23,  1 049,   31,   1,   190,   99,   134,   54,   537,-,   15,-,  2 159
Barra da Tijuca,   247,   115,   177,   181,   179,   30,   51,   197,  1 602,   379,   187,-,  1 220,   263,  6 956,  30 269,  5 041,  4 775,  35 526,  9 041,  33 936,  11 588,  6 249,   2,   605,-,  148 816
Camorim,-,-,-,-,-,-,-,   1,   1,-,-,-,-,-,   18,   14,   1,-,   11,-,   7,-,   5,-,-,-,   58
Vargem Pequena,-,   8,   4,-,-,-,-,   1,-,   2,-,-,   16,   17,   21,   168,   124,   13,   182,   2,   81,   101,   104,-,   16,-,   860
Vargem Grande,-,-,   4,-,-,-,-,-,   18,   13,-,-,   127,-,   16,   381,   36,   25,   157,   76,   813,   87,   85,-,   84,-,  1 922
Recreio dos Bandeirantes,-,-,   1,   13,-,   6,-,   3,   13,   2,   25,-,   90,   1,   426,  2 182,   167,   14,  5 478,   317,  2 434,   359,  2 721,-,   87,-,  14 339
Grumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   27,-,-,-,-,-,   27
,,,,,,,,,,,,,,,,,,,,,,,,,,,   0
Área de Planejamento 5,   46,  1 468,  6 696,  1 260,   80,   260,   394,  2 354,  4 610,  3 123,   903,   0,  4 862,  1 422,  6 342,  52 314,  5 281,  1 434,  15 438,  7 191,  18 669,  10 671,  13 932,  2 231,   583,   0,  161 564
Região de Planejamento 5.1,   33,   66,   191,   119,   32,   9,   36,   112,   789,   170,   300,   0,   577,   751,  1 087,  17 065,  1 374,   470,  3 827,  1 927,  9 249,  2 757,  4 975,   171,   37,   0,  46 124
XVII Bangu,   33,   22,   106,   80,   1,   7,   17,   28,   27,   37,   79,   0,   365,   18,   522,  10 243,  1 002,   266,  2 866,  1 260,  4 061,  2 279,  2 562,   0,   29,   0,  25 910
Padre Miguel,-,   3,   14,   7,   1,-,-,-,   16,-,   7,-,   55,   1,   57,  1 273,   44,   17,   270,   185,   603,   325,   581,-,   1,-,  3 460
Bangu,   33,   19,   52,   10,-,   7,   5,   23,   11,   31,   63,-,   293,   17,   369,  8 365,   365,   247,  2 363,   801,  2 838,  1 952,  1 712,-,   20,-,  19 596
Senador Camará,-,-,   40,   63,-,-,   12,   5,-,   6,   9,-,   17,-,   96,   605,   593,   2,   233,   274,   620,   2,   269,-,   8,-,  2 854
Gericinó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   0
XXXIII Realengo,   0,   44,   85,   39,   31,   2,   19,   84,   762,   133,   221,   0,   212,   733,   565,  6 822,   372,   204,   961,   667,  5 188,   478,  2 413,   171,   8,   0,  20 214
Deodoro,-,-,-,-,-,-,-,-,-,-,   68,-,   27,   584,-,   119,   5,   90,   3,   3,   96,-,   55,-,-,-,  1 050
Vila Militar,-,-,-,-,-,-,-,-,-,-,   8,-,   2,-,-,   1,-,-,-,-,   9,-,-,-,-,-,   20
Campo dos Afonsos,-,-,-,-,-,-,-,-,-,-,   7,-,   3,-,   74,   416,   25,   40,   66,   98,   204,   1,   19,-,-,-,   953
Jardim Sulacap,-,   10,   15,   28,-,-,-,-,-,-,   18,-,   47,-,   40,  1 290,   56,   9,   217,   205,   944,   13,   296,-,-,-,  3 188
Magalhães Bastos,-,   27,   28,   4,-,-,-,   1,-,-,   25,-,   8,-,   80,   194,   52,   3,   99,   89,   40,   1,   105,-,   1,-,   757
Realengo,-,   7,   42,   7,   31,   2,   19,   83,   762,   133,   95,-,   125,   149,   371,  4 802,   234,   62,   576,   272,  3 895,   463,  1 938,   171,   7,-,  14 246
Região de Planejamento 5.2,   6,   981,   538,   695,   38,   154,   45,   99,  3 766,  1 107,   441,   0,  3 369,   464,  2 476,  24 252,  2 825,   715,  8 720,  3 744,  5 935,  5 057,  6 202,   428,   216,   0,  72 273
XVIII Campo Grande,   6,   981,   538,   695,   38,   154,   45,   99,  3 766,  1 107,   441,   0,  3 369,   464,  2 476,  24 252,  2 825,   715,  8 720,  3 744,  5 935,  5 057,  6 202,   428,   216,   0,  72 273
Santíssimo,-,   9,-,   3,-,-,-,-,-,   46,   3,-,   11,-,   60,   807,   5,-,   101,   197,   60,   9,   192,-,-,-,  1 503
Campo Grande,   6,   926,   516,   623,   38,   136,   18,   81,  3 765,   979,   396,-,  3 314,   455,  1 856,  21 270,  2 641,   710,  7 978,  2 492,  5 607,  4 990,  5 510,   428,   216,-,  64 951
Senador Vasconcelos,-,   25,   6,   55,-,   11,   7,-,   1,   2,-,-,   19,-,   237,   490,   47,   2,   237,   26,   104,   35,   110,-,-,-,  1 414
Inhoaíba,-,   16,   6,   10,-,   7,   8,   11,-,   80,   12,-,   6,   9,   210,   833,   34,-,   103,   717,   72,   6,   136,-,-,-,  2 276
Cosmos,-,   5,   10,   4,-,-,   12,   7,-,-,   30,-,   19,-,   113,   852,   98,   3,   301,   312,   92,   17,   254,-,-,-,  2 129
Região de Planejamento 5.3,   6,   328,  5 965,   422,   1,   97,   239,  2 099,   50,   506,   135,   0,   817,   207,  2 060,  8 420,   837,   236,  1 710,   976,  2 716,  2 798,  2 181,  1 632,   39,   0,  34 477
XIX Santa Cruz,   6,   328,  5 965,   422,   1,   97,   239,  2 099,   50,   506,   135,   0,   817,   207,  2 060,  8 420,   837,   236,  1 710,   976,  2 716,  2 798,  2 181,  1 632,   39,   0,  34 477
Paciência,-,   15,   27,-,-,-,   214,   8,   7,   60,   91,-,   595,   1,   109,  1 357,   487,-,   187,   113,   241,   30,   373,-,-,-,  3 915
Santa Cruz,   6,   313,  5 934,   421,   1,   87,   25,  2 077,   43,   446,   44,-,   190,   206,  1 888,  6 492,   292,   224,  1 430,   772,  2 203,  2 754,  1 569,  1 632,   38,-,  29 087
Sepetiba,-,-,   4,   1,-,   10,-,   14,-,-,-,-,   32,-,   63,   571,   58,   12,   93,   91,   272,   14,   239,-,   1,-,  1 475
Região de Planejamento 5.4,   1,   93,   2,   24,   9,   0,   74,   44,   5,  1 340,   27,   0,   99,   0,   719,  2 577,   245,   13,  1 181,   544,   769,   59,   574,   0,   291,   0,  8 690
XXVI Guaratiba,   1,   93,   2,   24,   9,   0,   74,   44,   5,  1 340,   27,   0,   99,   0,   719,  2 577,   245,   13,  1 181,   544,   769,   59,   574,   0,   291,   0,  8 690
Guaratiba,   1,   93,   2,   8,   9,-,   74,   44,   5,  1 340,   14,-,   90,-,   706,  1 981,   242,   8,   922,   432,   611,   47,   405,-,   279,-,  7 313
Barra de Guaratiba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,   35,   3,-,   153,   7,   55,-,-,-,   11,-,   264
Pedra de Guaratiba,-,-,-,   16,-,-,-,-,-,-,   13,-,   9,-,   13,   561,-,   5,   106,   105,   103,   12,   169,-,   1,-,  1 113
,,,,,,,,,,,,,,,,,,,,,,,,,,,   0
Ignorado,  2 274,   48,   618,   447,   68,   46,   111,   376,   299,  1 040,  2 325,-,  1 444,  20 803,  6 707,  14 981,  5 037,  3 386,  22 467,  12 736,  16 093,  7 512,  3 486,  20 910,   318,-,  143 532
Desconsiderados (1),-,-,-,-,-,-,-,-,-,   58,-,-,-,-,-,   21,-,-,   13,-,   24,-,   25,  2 769,-,-,  2 910
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notas: (1) Esta categoria incorpora informações dadas pelos respondentes de localidades que não são bairros oficiais, ou não puderam ser apropriadas em nenhum deles.",,,,,,,,,,,,,,,,,,,,,,,,,,,
               A RAIS é um registro administrativo que expressa os vínculos formais em 31/12 de cada ano.,,,,,,,,,,,,,,,,,,,,,,,,,,,
              - Dado numérico igual a zero não resultante de arredondamento.,,,,,,,,,,,,,,,,,,,,,,,,,,,
